280.99,265.09,290.98,41.164,21.321
280.37,264.85,289.17,41.164,21.321
280.1,265.8,287.73,41.164,21.321
280.1,266.5,286.56,41.164,21.321
280.44,266.5,285.71,41.164,21.321
280.54,266.96,285.03,41.164,21.321
280.52,266.73,284.48,41.164,21.321
281.28,264.85,284.11,41.164,21.321
281.54,264.85,283.97,41.164,21.321
285.72,265.8,284.64,41.164,21.321
292.44,268.34,285.31,41.164,21.321
292.28,268.34,285.94,41.164,21.321
293.05,271.26,286.69,41.164,21.321
293.74,273.23,287.61,41.164,21.321
292.32,276,288.31,41.164,21.321
291.25,278.07,288.77,41.164,21.321
290.64,277.86,289.04,41.164,21.321
288.1,273.01,288.89,41.164,21.321
288.91,269.93,288.82,41.164,21.321
288.55,269.93,288.77,41.164,21.321
287.72,269.25,288.64,41.164,21.321
286.89,264.62,288.4,41.164,21.321
286.81,263.42,288.14,41.164,21.321
285.88,263.42,287.83,41.164,21.321
285.08,262.45,287.43,41.164,21.321
284.42,261.96,287.01,41.164,21.321
283.42,259.97,286.52,41.164,21.321
282.74,260.47,286,41.164,21.321
282.25,260.22,285.49,41.164,21.321
282.23,260.47,285.06,41.164,21.321
282.27,261.71,284.73,41.164,21.321
282.52,260.97,284.58,41.164,21.321
286.44,262.93,285.26,41.164,21.321
289.07,265.8,285.74,41.164,21.321
291.24,267.66,286.1,41.164,21.321
291.36,269.93,286.63,41.164,21.321
297.23,272.36,287.25,41.164,21.321
295.67,273.01,287.84,41.164,21.321
295.2,274.09,288.52,41.164,21.321
291.74,273.66,288.92,41.164,21.321
289.89,272.8,289.07,41.164,21.321
288.75,269.93,288.98,41.164,21.321
288.07,268.34,288.8,41.164,21.321
287.27,268.34,288.55,41.164,21.321
286.67,266.5,288.25,41.164,21.321
286.26,265.8,287.94,41.164,21.321
285.91,265.33,287.64,41.164,21.321
286.03,266.5,287.38,41.164,21.321
285.64,266.03,287.13,41.164,21.321
285.15,265.09,286.85,41.164,21.321
284.55,263.9,286.53,41.164,21.321
283.96,261.96,286.18,41.164,21.321
283.72,263.18,285.85,41.164,21.321
283.43,263.18,285.53,41.164,21.321
283.05,263.18,285.21,41.164,21.321
283.28,263.9,285.07,41.164,21.321
285.3,265.09,285.76,41.164,21.321
285.7,266.73,286.23,41.164,21.321
288.09,269.7,286.58,41.164,21.321
290.72,270.37,286.92,41.164,21.321
296.89,272.36,287.32,41.164,21.321
295.55,275.15,287.74,41.164,21.321
290.9,279.7,288.02,41.164,21.321
289.28,279.7,288.18,41.164,21.321
288.99,279.29,288.27,41.164,21.321
288.68,280.9,288.33,41.164,21.321
288.46,279.9,288.33,41.164,21.321
287.76,275.36,288.24,41.164,21.321
287.39,272.36,288.09,41.164,21.321
286.96,271.92,287.92,41.164,21.321
286.64,271.48,287.72,41.164,21.321
286.36,269.7,287.51,41.164,21.321
286.13,271.7,287.31,41.164,21.321
286.31,277.04,287.18,41.164,21.321
